"PC","eigenvalue","variance.percent","cumulative.variance.percent"
"PC1","6.44591905573781","58.5992641430711","58.5992641430711"
"PC2","2.22518592170315","20.2289629245741","78.8282270676451"
"PC3","0.998250384707214","9.07500349733832","87.9032305649835"
"PC4","0.398313506843249","3.62103188039318","91.5242624453766"
"PC5","0.36223843504953","3.29307668226845","94.8173391276451"
"PC6","0.253611799881967","2.30556181710879","97.1229009447539"
"PC7","0.161055459828034","1.46414054389122","98.5870414886451"
"PC8","0.1106218894052","1.00565354004727","99.5926950286924"
"PC9","0.022948980535213","0.208627095774664","99.801322124467"
"PC10","0.0174762473527863","0.158874975934421","99.9601971004015"
"PC11","0.00437831895584053","0.0398028995985503","100"
