"Lag","ACF_orig","PACF_orig","ACF_diff","PACF_diff"
1,0.370429331220006,0.370429331220006,-0.304037398765781,-0.304037398765781
2,0.184326319884294,0.0546006110684967,0.0560335567564866,-0.0401131964201392
3,0.0289522580157912,-0.0648971353583422,0.0239441550508152,0.032521675322395
4,-0.243257198177018,-0.284515999800025,-0.24806863471554,-0.252964249119398
5,-0.115122199404681,0.0792196823015442,0.0656704018269665,-0.09889592947113
6,-0.017050999498662,0.0956185155297938,0.0360642230769722,0.041056424912827
7,-0.0193880825843105,-0.0350784115923993,0.0118050858772788,0.0448078469617515
8,-0.0510121026970201,-0.163259570122854,0.0142391756721695,-0.042276849933588
9,-0.120790461669517,-0.102806793111709,-0.000198215775479192,-0.0141192142782263
10,-0.125446304706867,0.0140160400544139,0.0605071796914854,0.106307866109466
