"DATE","BIOMASS"
1994-01-01,0.950071343739088
1995-01-01,0.951965381989654
1996-01-01,8.36325654650364
1997-01-01,3.62819654642429
1998-01-01,7.8348529000896
1999-01-01,5.44483360968922
2000-01-01,2.20590493593909
2001-01-01,3.22279241365495
2002-01-01,4.23967989137082
2003-01-01,5.25656736908669
2004-01-01,6.27345484680255
2005-01-01,7.29034232451842
2006-01-01,8.30722980223428
2007-01-01,7.13340164071737
2008-01-01,5.95957347920046
2009-01-01,4.78574531768355
2010-01-01,3.00337790088524
2011-01-01,1.69795051861114
2012-01-01,4.96890642363331
2013-01-01,3.61849673783698
2014-01-01,2.27880195153931
2015-01-01,2.26423473953365
2016-01-01,2.24966752752799
2017-01-01,3.11200331689993
2018-01-01,3.97433910627186
2019-01-01,4.8366748956438
2020-01-01,5.14529053063494
